target,prediction,position,log_return,strategy_return,equity_curve
0,0,0.0,0.00032230125808296097,0.0,1.0
1,1,0.0,0.0007516325442350482,0.0,1.0
0,0,1.0,-0.004841810708537221,-0.004841810708537221,0.9951698919619414
0,0,0.0,0.0005391381072390516,0.0,0.9951698919619414
0,0,0.0,0.0,0.0,0.9951698919619414
0,0,0.0,0.0005388475939601381,0.0,0.9951698919619414
1,1,0.0,0.0059082387912814645,0.0,0.9951698919619414
1,1,1.0,-0.0003213690592063397,-0.0003213690592063397,0.9948501265341205
1,1,1.0,-0.0032193836967311616,-0.0032193836967311616,0.991652472255913
1,1,1.0,-0.002367486035344073,-0.002367486035344073,0.9893075257852276
1,1,1.0,-0.0024811066327436217,-0.0024811066327436217,0.9868559908386018
0,0,1.0,-0.0023790065825147195,-0.0023790065825147195,0.9845110443679164
0,0,0.0,0.0,0.0,0.9845110443679164
1,1,0.0,0.0018388200286878044,0.0,0.9845110443679164
1,1,1.0,-0.000216156352444197,-0.000216156352444197,0.9842982590499023
1,1,1.0,-0.002489162128193399,-0.002489162128193399,0.981851227892739
1,1,1.0,-0.0023867494397619756,-0.0023867494397619756,0.9795105893945832
0,0,1.0,-0.002719148072797167,-0.002719148072797167,0.976850772919406
0,0,0.0,0.0,0.0,0.976850772919406
0,0,0.0,0.0,0.0,0.976850772919406
1,1,0.0,0.0018498248686302176,0.0,0.976850772919406
1,1,1.0,-0.0005437110184893763,-0.0005437110184893763,0.9763197927537139
1,1,1.0,-0.00021756720847560546,-0.00021756720847560546,0.9761074006874374
0,0,1.0,-0.0008707424979908524,-0.0008707424979908524,0.9752578324223301
1,1,0.0,0.0,0.0,0.9752578324223301
0,0,1.0,-0.00021780414367432715,-0.00021780414367432715,0.9750454403560534
1,1,0.0,0.00021780414367426117,0.0,0.9750454403560534
0,0,1.0,-0.0007625221373840297,-0.0007625221373840297,0.974302230016006
1,1,0.0,0.002177093928258719,0.0,0.974302230016006
0,0,1.0,-0.0016323759345489076,-0.0016323759345489076,0.9727130998845155
0,0,0.0,0.0007621070491526319,0.0,0.9727130998845155
0,0,0.0,0.0017397810613529062,0.0,0.9727130998845155
1,1,0.0,0.0018452068602949965,0.0,0.9727130998845155
0,0,1.0,-0.0005423545513866374,-0.0005423545513866374,0.9721856875427698
1,1,0.0,0.0040064755737830695,0.0,0.9721856875427698
1,1,1.0,-0.0012976395241688957,-0.0012976395241688957,0.9709249591321988
0,0,1.0,-0.0019496220124488686,-0.0019496220124488686,0.969033866516342
0,0,0.0,0.0005419430559802496,0.0,0.969033866516342
1,1,0.0,0.00010835337583456217,0.0,0.969033866516342
1,1,1.0,-0.0003250953552270874,-0.0003250953552270874,0.9687188893088675
1,1,1.0,-0.0008674379941073307,-0.0008674379941073307,0.9678789500889352
1,1,1.0,-0.0007596259791180729,-0.0007596259791180729,0.9671440032714946
0,0,1.0,-0.000542943487143865,-0.000542943487143865,0.966619041259037
0,0,0.0,0.0013025694662619923,0.0,0.966619041259037
1,1,0.0,0.0005422369175197521,0.0,0.966619041259037
0,0,1.0,-0.00021685948577863787,-0.00021685948577863787,0.9664094434782606
1,1,0.0,0.0005420605623664193,0.0,0.9664094434782606
1,1,1.0,-0.00021678896666282182,-0.00021678896666282182,0.9661999592813875
0,0,1.0,-0.0001084121099248972,-0.0001084121099248972,0.966095217182951
1,1,0.0,0.0003252010765875664,0.0,0.966095217182951
0,0,1.0,-0.0010844151137530088,-0.0010844151137530088,0.9650481367656383
1,1,0.0,0.0005423545513866015,0.0,0.9650481367656383
0,0,1.0,-0.003802673533251069,-0.003802673533251069,0.9613853423770515
1,1,0.0,0.0010879544969997523,0.0,0.9613853423770515
1,1,1.0,-0.00032626208440803255,-0.00032626208440803255,0.9610717299540317
1,1,1.0,-0.00021756720847560546,-0.00021756720847560546,0.960862655005352
0,0,1.0,-0.0003264395925127129,-0.0003264395925127129,0.9605490425823321
0,0,0.0,0.000326439592512673,0.0,0.9605490425823321
0,0,0.0,0.0005438292928836245,0.0,0.9605490425823321
0,0,0.0,0.0010867721382483739,0.0,0.9605490425823321
1,1,0.0,0.0,0.0,0.9605490425823321
1,1,1.0,-0.00032590764671103223,-0.00032590764671103223,0.9602360433115118
0,0,1.0,-0.0004347088193597572,-0.0004347088193597572,0.9598187109504182
0,0,0.0,0.0007606164660709065,0.0,0.9598187109504182
1,1,0.0,0.005416214867615906,0.0,0.9598187109504182
0,0,1.0,-0.0010808986847986907,-0.0010808986847986907,0.9587818046643822
0,0,0.0,0.0,0.0,0.9587818046643822
0,0,0.0,0.00021627322452314433,0.0,0.9587818046643822
0,0,0.0,0.0,0.0,0.9587818046643822
0,0,0.0,0.0008646254602755964,0.0,0.9587818046643822
0,0,0.0,0.0010797316042143643,0.0,0.9587818046643822
0,0,0.0,0.002371313800071403,0.0,0.9587818046643822
0,0,0.0,0.0005381516378267628,0.0,0.9587818046643822
1,1,0.0,0.00032275202608454527,0.0,0.9587818046643822
0,0,1.0,-0.0003227520260845956,-0.0003227520260845956,0.9584724058265904
1,1,0.0,0.0008604406910431004,0.0,0.9584724058265904
0,0,1.0,-0.0016139341002042499,-0.0016139341002042499,0.9569267421618799
0,0,0.0,0.002903208555751943,0.0,0.9569267421618799
1,1,0.0,0.0008585937683909314,0.0,0.9569267421618799
1,1,1.0,-0.000751229223978191,-0.000751229223978191,0.9562081407789362
0,0,1.0,-0.0001073645444128323,-0.0001073645444128323,0.9561054834385156
0,0,0.0,0.0013948407636599411,0.0,0.9561054834385156
0,0,0.0,0.001821091823113772,0.0,0.9561054834385156
0,0,0.0,0.001924606963945477,0.0,0.9561054834385156
1,1,0.0,0.0,0.0,0.9561054834385156
1,1,1.0,-0.0016035817965955113,-0.0016035817965955113,0.9545735187332897
1,1,1.0,-0.0003210251673500051,-0.0003210251673500051,0.9542671257922443
0,0,1.0,-0.00021407404650920718,-0.00021407404650920718,0.9540628638315476
0,0,0.0,0.0010699122496766356,0.0,0.9540628638315476
1,1,0.0,0.001602725096148951,0.0,0.9540628638315476
1,1,1.0,-0.0010681979324337883,-0.0010681979324337883,0.9530442799744303
1,1,1.0,-0.0005345271637152312,-0.0005345271637152312,0.9525349880458718
