target,prediction,position,log_return,strategy_return,equity_curve
1,0,0.0,0.0018452068602949965,0.0,1.0
0,0,0.0,-0.0005423545513866374,-0.0,1.0
1,0,0.0,0.0040064755737830695,0.0,1.0
1,0,0.0,-0.0012976395241688957,-0.0,1.0
0,0,0.0,-0.0019496220124488686,-0.0,1.0
0,1,0.0,0.0005419430559802496,0.0,1.0
1,1,1.0,0.00010835337583456217,0.00010835337583456217,1.0001083592462736
1,0,1.0,-0.0003250953552270874,-0.0003250953552270874,0.9997832815074534
1,0,0.0,-0.0008674379941073307,-0.0,0.9997832815074534
1,0,0.0,-0.0007596259791180729,-0.0,0.9997832815074534
0,0,0.0,-0.000542943487143865,-0.0,0.9997832815074534
0,0,0.0,0.0013025694662619923,0.0,0.9997832815074534
1,0,0.0,0.0005422369175197521,0.0,0.9997832815074534
0,0,0.0,-0.00021685948577863787,-0.0,0.9997832815074534
1,0,0.0,0.0005420605623664193,0.0,0.9997832815074534
1,0,0.0,-0.00021678896666282182,-0.0,0.9997832815074534
0,0,0.0,-0.0001084121099248972,-0.0,0.9997832815074534
1,0,0.0,0.0003252010765875664,0.0,0.9997832815074534
0,0,0.0,-0.0010844151137530088,-0.0,0.9997832815074534
1,0,0.0,0.0005423545513866015,0.0,0.9997832815074534
0,0,0.0,-0.003802673533251069,-0.0,0.9997832815074534
1,0,0.0,0.0010879544969997523,0.0,0.9997832815074534
1,0,0.0,-0.00032626208440803255,-0.0,0.9997832815074534
1,0,0.0,-0.00021756720847560546,-0.0,0.9997832815074534
0,0,0.0,-0.0003264395925127129,-0.0,0.9997832815074534
0,0,0.0,0.000326439592512673,0.0,0.9997832815074534
0,0,0.0,0.0005438292928836245,0.0,0.9997832815074534
0,0,0.0,0.0010867721382483739,0.0,0.9997832815074534
1,0,0.0,0.0,0.0,0.9997832815074534
1,0,0.0,-0.00032590764671103223,-0.0,0.9997832815074534
0,0,0.0,-0.0004347088193597572,-0.0,0.9997832815074534
0,0,0.0,0.0007606164660709065,0.0,0.9997832815074534
1,0,0.0,0.005416214867615906,0.0,0.9997832815074534
0,0,0.0,-0.0010808986847986907,-0.0,0.9997832815074534
0,0,0.0,0.0,0.0,0.9997832815074534
0,0,0.0,0.00021627322452314433,0.0,0.9997832815074534
0,0,0.0,0.0,0.0,0.9997832815074534
0,0,0.0,0.0008646254602755964,0.0,0.9997832815074534
0,0,0.0,0.0010797316042143643,0.0,0.9997832815074534
0,0,0.0,0.002371313800071403,0.0,0.9997832815074534
0,0,0.0,0.0005381516378267628,0.0,0.9997832815074534
