target,prediction,position,log_return,strategy_return,equity_curve
1,1,0.0,0.0018452068602949965,0.0,1.0
0,1,1.0,-0.0005423545513866374,-0.0005423545513866374,0.9994577924962579
1,0,1.0,0.0040064755737830695,0.0040064755737830695,1.0034701280239493
1,0,0.0,-0.0012976395241688957,-0.0,1.0034701280239493
0,0,0.0,-0.0019496220124488686,-0.0,1.0034701280239493
0,1,0.0,0.0005419430559802496,0.0,1.0034701280239493
1,0,1.0,0.00010835337583456217,0.00010835337583456217,1.0035788632906801
1,0,0.0,-0.0003250953552270874,-0.0,1.0035788632906801
1,1,0.0,-0.0008674379941073307,-0.0,1.0035788632906801
1,0,1.0,-0.0007596259791180729,-0.0007596259791180729,1.0028168081891011
0,0,0.0,-0.000542943487143865,-0.0,1.0028168081891011
0,1,0.0,0.0013025694662619923,0.0,1.0028168081891011
1,1,1.0,0.0005422369175197521,0.0005422369175197521,1.0033607199351982
0,1,1.0,-0.00021685948577863787,-0.00021685948577863787,1.0031431552367596
1,1,1.0,0.0005420605623664193,0.0005420605623664193,1.0036870669828566
1,0,1.0,-0.00021678896666282182,-0.00021678896666282182,1.0034695022844176
0,0,0.0,-0.0001084121099248972,-0.0,1.0034695022844176
1,0,0.0,0.0003252010765875664,0.0,1.0034695022844176
0,0,0.0,-0.0010844151137530088,-0.0,1.0034695022844176
1,1,0.0,0.0005423545513866015,0.0,1.0034695022844176
0,1,1.0,-0.003802673533251069,-0.003802673533251069,0.9996608814270128
1,0,1.0,0.0010879544969997523,0.0010879544969997523,1.0007490588148429
1,0,0.0,-0.00032626208440803255,-0.0,1.0007490588148429
1,0,0.0,-0.00021756720847560546,-0.0,1.0007490588148429
0,0,0.0,-0.0003264395925127129,-0.0,1.0007490588148429
0,1,0.0,0.000326439592512673,0.0,1.0007490588148429
0,0,1.0,0.0005438292928836245,0.0005438292928836245,1.0012934434805991
0,0,0.0,0.0010867721382483739,0.0,1.0012934434805991
1,0,0.0,0.0,0.0,1.0012934434805991
1,0,0.0,-0.00032590764671103223,-0.0,1.0012934434805991
0,0,0.0,-0.0004347088193597572,-0.0,1.0012934434805991
0,0,0.0,0.0007606164660709065,0.0,1.0012934434805991
1,0,0.0,0.005416214867615906,0.0,1.0012934434805991
0,0,0.0,-0.0010808986847986907,-0.0,1.0012934434805991
0,0,0.0,0.0,0.0,1.0012934434805991
0,1,0.0,0.00021627322452314433,0.0,1.0012934434805991
0,0,1.0,0.0,0.0,1.0012934434805991
0,0,0.0,0.0008646254602755964,0.0,1.0012934434805991
0,1,0.0,0.0010797316042143643,0.0,1.0012934434805991
0,0,1.0,0.002371313800071403,0.002371313800071403,1.0036706418687764
0,1,0.0,0.0005381516378267628,0.0,1.0036706418687764
1,0,1.0,0.00032275202608454527,0.00032275202608454527,1.003994630883204
0,1,0.0,-0.0003227520260845956,-0.0,1.003994630883204
1,0,1.0,0.0008604406910431004,0.0008604406910431004,1.0048588804816443
0,0,0.0,-0.0016139341002042499,-0.0,1.0048588804816443
0,0,0.0,0.002903208555751943,0.0,1.0048588804816443
1,1,0.0,0.0008585937683909314,0.0,1.0048588804816443
1,1,1.0,-0.000751229223978191,-0.000751229223978191,1.0041042845973807
0,0,1.0,-0.0001073645444128323,-0.0001073645444128323,1.0039964851853427
0,0,0.0,0.0013948407636599411,0.0,1.0039964851853427
0,0,0.0,0.001821091823113772,0.0,1.0039964851853427
0,1,0.0,0.001924606963945477,0.0,1.0039964851853427
1,0,1.0,0.0,0.0,1.0039964851853427
1,1,0.0,-0.0016035817965955113,-0.0,1.0039964851853427
1,1,1.0,-0.0003210251673500051,-0.0003210251673500051,1.0036742287746439
0,0,1.0,-0.00021407404650920718,-0.00021407404650920718,1.0034593911675116
0,1,0.0,0.0010699122496766356,0.0,1.0034593911675116
1,0,1.0,0.001602725096148951,0.001602725096148951,1.0050689502124963
1,0,0.0,-0.0010681979324337883,-0.0,1.0050689502124963
1,0,0.0,-0.0005345271637152312,-0.0,1.0050689502124963
1,0,0.0,-0.0005348130358173097,-0.0,1.0050689502124963
0,0,0.0,-0.0010704849121915315,-0.0,1.0050689502124963
0,0,0.0,0.0018191431010308253,0.0,1.0050689502124963
1,1,0.0,0.004267327787093758,0.0,1.0050689502124963
1,0,1.0,-0.0005324211711843056,-0.0005324211711843056,1.00453397265423
0,0,0.0,-0.0007458661945378976,-0.0,1.00453397265423
0,0,0.0,0.0,0.0,1.00453397265423
0,1,0.0,0.002129572056362892,0.0,1.00453397265423
1,1,1.0,0.0,0.0,1.00453397265423
0,0,1.0,-0.0029826723251093518,-0.0029826723251093518,1.0015422408701138
1,0,0.0,0.0008531002687464867,0.0,1.0015422408701138
1,1,0.0,-0.0010664891000938636,-0.0,1.0015422408701138
0,1,1.0,-0.0010676277135214676,-0.0010676277135214676,1.0004735372078337
0,0,1.0,0.0021341168136154343,0.0021341168136154343,1.0026109445323939
1,0,0.0,0.0010653529127172318,0.0,1.0026109445323939
1,0,0.0,-0.0002129798037433567,-0.0,1.0026109445323939
0,1,0.0,-0.0006392117089375247,-0.0,1.0026109445323939
1,1,1.0,0.0,0.0,1.0026109445323939
1,0,1.0,-0.0007462637752150843,-0.0007462637752150843,1.0018630114162614
1,0,0.0,-0.0010670581030659259,-0.0,1.0018630114162614
0,1,0.0,-0.0023515434589959964,-0.0,1.0018630114162614
1,0,1.0,0.0007488183628468287,0.0007488183628468287,1.0026135057931838
1,0,0.0,-0.00021389089255309374,-0.0,1.0026135057931838
1,0,0.0,-0.0017127761146620356,-0.0,1.0026135057931838
1,0,0.0,-0.00021430343052272115,-0.0,1.0026135057931838
0,0,0.0,-0.0005359595885431985,-0.0,1.0026135057931838
1,0,0.0,0.0021421169904637482,0.0,1.0026135057931838
0,0,0.0,-0.0003210251673500051,-0.0,1.0026135057931838
0,0,0.0,0.0,0.0,1.0026135057931838
1,0,0.0,0.0008558382031673973,0.0,1.0026135057931838
0,0,0.0,-0.00021389089255309374,-0.0,1.0026135057931838
1,1,0.0,0.0010689972629759348,0.0,1.0026135057931838
1,0,1.0,-0.0011759598676920077,-0.0011759598676920077,1.0014351655237905
0,0,0.0,-0.003428858234683205,-0.0,1.0014351655237905
0,1,0.0,0.0007510680170438554,0.0,1.0014351655237905
0,0,1.0,0.00032171368862746213,0.00032171368862746213,1.0017573927544887
0,1,0.0,0.0007502630190660037,0.0,1.0017573927544887
0,1,1.0,0.00032136905920621833,0.00032136905920621833,1.0020793783206792
1,1,1.0,0.001284444450739562,0.001284444450739562,1.003367320585441
0,0,1.0,-0.0012844444507396889,-0.0012844444507396889,1.0020793783206792
0,0,0.0,0.0,0.0,1.0020793783206792
1,0,0.0,0.0,0.0,1.0020793783206792
0,0,0.0,-0.0003213690592063397,-0.0,1.0020793783206792
0,1,0.0,0.0010708288040478368,0.0,1.0020793783206792
1,0,1.0,0.0008558382031673973,0.0008558382031673973,1.0029373632310143
1,0,0.0,-0.0013911092709070626,-0.0,1.0029373632310143
0,1,0.0,-0.0002141886771016795,-0.0,1.0029373632310143
1,0,1.0,0.0005353856983323337,0.0005353856983323337,1.0034744653171697
0,0,0.0,-0.0007496202620520068,-0.0,1.0034744653171697
1,1,0.0,0.0007496202620520502,0.0,1.0034744653171697
1,1,1.0,-0.008061039124753647,-0.008061039124753647,0.9954179340248411
0,0,1.0,-0.0005397200745721192,-0.0005397200745721192,0.9948808319386859
0,0,0.0,0.0005397200745720606,0.0,0.9948808319386859
1,0,0.0,0.0007551190584773214,0.0,0.9948808319386859
0,0,0.0,-0.00021569012453660357,-0.0,0.9948808319386859
1,0,0.0,0.00021569012453655787,0.0,0.9948808319386859
1,0,0.0,-0.0005393125656168398,-0.0,0.9948808319386859
0,0,0.0,-0.001295538097074783,-0.0,0.9948808319386859
0,0,0.0,0.0,0.0,0.9948808319386859
0,0,0.0,0.0016191605381549667,0.0,0.9948808319386859
1,0,0.0,0.0,0.0,0.9948808319386859
0,0,0.0,-0.0005394289339406457,-0.0,0.9948808319386859
1,1,0.0,0.00021580649286047213,0.0,0.9948808319386859
0,0,1.0,-0.0005396035806153153,-0.0005396035806153153,0.9943441354941703
0,0,0.0,0.0,0.0,0.9943441354941703
1,0,0.0,0.0035560145517378435,0.0,0.9943441354941703
0,0,0.0,-0.0005379779296001338,-0.0,0.9943441354941703
0,0,0.0,0.0005379779296000637,0.0,0.9943441354941703
1,1,0.0,0.002363670608230371,0.0,0.9943441354941703
0,0,1.0,-0.0012885822320535948,-0.0012885822320535948,0.9930636664806146
1,1,0.0,0.00021487904698641748,0.0,0.9930636664806146
0,1,1.0,-0.000752278758204774,-0.000752278758204774,0.9923168867072749
1,1,1.0,0.00032247448130287164,0.00032247448130287164,0.9926369351815633
0,1,1.0,-0.0003224744813028647,-0.0003224744813028647,0.9923168867072749
1,0,1.0,0.0019332888828810838,0.0019332888828810838,0.9942371775530058
0,1,0.0,-0.00032195536934477,-0.0,0.9942371775530058
0,1,1.0,0.0005365347104021695,0.0005365347104021695,0.9947707634400096
1,1,1.0,0.00021453330664156293,0.00021453330664156293,0.9949841977948111
0,1,1.0,-0.00021453330664166314,-0.00021453330664166314,0.9947707634400096
1,1,1.0,0.0005362469952690967,0.0005362469952690967,0.9953043493270136
1,0,1.0,-0.00462114894903314,-0.00462114894903314,0.9907155106987796
0,0,0.0,-0.0016170659062555083,-0.0,0.9907155106987796
1,0,0.0,0.0005393125656168911,0.0,0.9907155106987796
0,0,0.0,-0.001834850662691655,-0.0,0.9907155106987796
0,1,0.0,0.0,0.0,0.9907155106987796
1,0,1.0,0.0016191605381549667,0.0016191605381549667,0.9923209375293836
1,1,0.0,-0.003565620165823364,-0.0,0.9923209375293836
